web_scraper_order,web_scraper_start_url,iPhone 17 Pro Max,説明1,買取価格,ランク別の価格※ 買取方法,time-scraped
1761806545-60,https://www.keitai-space.jp/kaitori1/,iPhone 16e,説明,買取価格,,2025-10-30 15:42:25
1761806545-61,https://www.keitai-space.jp/kaitori1/,iPhone 16e 128GB,SIMFREE  未開封,￥86100,,2025-10-30 15:42:25
1761806545-62,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥80300,,,2025-10-30 15:42:25
1761806545-63,https://www.keitai-space.jp/kaitori1/,iPhone 16e 256GB,SIMFREE  未開封,￥99000,,2025-10-30 15:42:25
1761806545-64,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥93000,,,2025-10-30 15:42:25
1761806545-65,https://www.keitai-space.jp/kaitori1/,iPhone 16e 512GB,SIMFREE  未開封,￥112000,,2025-10-30 15:42:25
1761806545-66,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥106000,,,2025-10-30 15:42:25
1761806545-67,https://www.keitai-space.jp/kaitori1/,iphone 15 Pro Max,説明,買取価格,,2025-10-30 15:42:25
1761806545-68,https://www.keitai-space.jp/kaitori1/,"iphone 15 Pro Max
				256GB",SIMFREE  未開封,￥158000,,2025-10-30 15:42:25
1761806545-69,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥145000,,,2025-10-30 15:42:25
1761806545-70,https://www.keitai-space.jp/kaitori1/,"iphone 15 Pro Max
				512GB",SIMFREE  未開封,￥170000,,2025-10-30 15:42:25
1761806545-71,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥156000,,,2025-10-30 15:42:25
1761806545-72,https://www.keitai-space.jp/kaitori1/,"iphone 15 Pro Max
				1TB",SIMFREE  未開封,￥176000,,2025-10-30 15:42:25
1761806545-73,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥161000,,,2025-10-30 15:42:25
1761806545-74,https://www.keitai-space.jp/kaitori1/,iphone 15 Pro,説明,買取価格,,2025-10-30 15:42:25
1761806545-75,https://www.keitai-space.jp/kaitori1/,"iphone 15 Pro
				128GB",SIMFREE  未開封,￥132500,,2025-10-30 15:42:25
1761806545-76,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥116000,,,2025-10-30 15:42:25
1761806545-77,https://www.keitai-space.jp/kaitori1/,"iphone 15 Pro
				256GB",SIMFREE  未開封,￥142500,,2025-10-30 15:42:25
1761806545-78,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥128500,,,2025-10-30 15:42:25
1761806545-79,https://www.keitai-space.jp/kaitori1/,"iphone 15 Pro
				512GB",SIMFREE  未開封,￥152500,,2025-10-30 15:42:25
1761806545-80,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥138500,,,2025-10-30 15:42:25
1761806545-81,https://www.keitai-space.jp/kaitori1/,"iphone 15 Pro
				1TB",SIMFREE  未開封,￥162500,,2025-10-30 15:42:25
1761806545-82,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥148500,,,2025-10-30 15:42:25
1761806545-83,https://www.keitai-space.jp/kaitori1/,iphone 15 Plus,説明,買取価格,,2025-10-30 15:42:25
1761806545-84,https://www.keitai-space.jp/kaitori1/,"iphone 15 Plus
				128GB",SIMFREE  未開封,"￥101500
				
					  黄 -1000",,2025-10-30 15:42:25
1761806545-85,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,"￥92300
				
					   黄 -1000",,,2025-10-30 15:42:25
1761806545-86,https://www.keitai-space.jp/kaitori1/,"iphone 15 Plus
				256GB",SIMFREE  未開封,"￥113500 
				
					 黄 -2000",,2025-10-30 15:42:25
1761806545-87,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,"￥104300
				
					 黄 -2000",,,2025-10-30 15:42:25
1761806545-88,https://www.keitai-space.jp/kaitori1/,"iphone 15 Plus
				512GB",SIMFREE  未開封,"￥121500
				
					  黄-2000",,2025-10-30 15:42:25
1761806545-89,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,"￥112300
				
					   黄 -2000",,,2025-10-30 15:42:25
1761806545-90,https://www.keitai-space.jp/kaitori1/,iPhone 15,説明,買取価格,,2025-10-30 15:42:25
1761806545-91,https://www.keitai-space.jp/kaitori1/,iPhone 15 128GB,SIMFREE  未開封,"￥91100
				
					黒-2000/青-1000",,2025-10-30 15:42:25
1761806545-92,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,"￥87100
				
					黒-2000/青-1000",,,2025-10-30 15:42:25
1761806545-93,https://www.keitai-space.jp/kaitori1/,iPhone 15 256GB,SIMFREE  未開封,￥104500,,2025-10-30 15:42:25
1761806545-94,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥97000,,,2025-10-30 15:42:25
1761806545-95,https://www.keitai-space.jp/kaitori1/,iPhone 15 512GB,SIMFREE  未開封,￥114500,,2025-10-30 15:42:25
1761806545-96,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥106000,,,2025-10-30 15:42:25
1761806545-97,https://www.keitai-space.jp/kaitori1/,iphone 14 Pro Max,説明,買取価格,,2025-10-30 15:42:25
1761806545-98,https://www.keitai-space.jp/kaitori1/,"iphone 14 Pro Max
				
					128GB",SIMFREE  未開封,￥110500,,2025-10-30 15:42:25
1761806545-99,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥100000,,,2025-10-30 15:42:25
1761806545-100,https://www.keitai-space.jp/kaitori1/,"iphone 14 Pro Max
				256GB",SIMFREE  未開封,￥125500,,2025-10-30 15:42:25
